sid,star
311,Daryl Hannah
312,Tracy Camilla Johns
313,Tom Waits
314,Karen Black
315,Deborah Foreman
316,Helena Bonham Carter
317,John Candy
318,Bryan Brown
319,Brian Kerwin
320,Danny DeVito
321,Richard Jordan
322,John Lithgow
323,Michael Keaton
324,Stephen Lang
325,Chris Makepeace
326,Burt Lancaster
327,Todd Allen
328,Blythe Danner
329,Sissy Spacek
330,Judd Nelson
331,Scott McGinnis
332,Mike Norris
333,Victor Love
334,Cary Elwes
335,Elisabeth Shue
336,Adrian Pasdar
337,Andrew McCarthy
338,Dolph Lundgren
339,Christian Bale
340,Lorraine Gary
341,Timothy Dalton
342,Lou Diamond Phillips
343,Andre Gower
344,Donald Pleasence
345,George Kennedy
346,Hume Cronyn
347,Jason Bateman
348,Jim Varney
349,Kim Basinger
350,Anthony Newley
351,Casey Siemaszko
352,David Paul
353,Martin Sheen
354,Denzel Washington
355,Madonna
356,Chris Cooper
357,Jon Cryer
358,Michael E. Knight
359,Lane Smith
360,Kelly McGillis
361,Jim Belushi
362,Tom Hulce
363,Michael Biehn
364,Deborah Winters
365,Bill Cosby
366,Sarah Miles
367,Robert Townsend
368,Sy Richardson
369,Jodie Foster
370,Julie Walters
371,Patrick Dempsey
372,Elaine Stritch
373,Eric Stoltz
374,Eddie Deezen
375,Bruce Willis
376,Alec Baldwin
377,River Phoenix
378,Roddy Piper
379,Winona Ryder
380,Bob Hoskins
381,Annabeth Gish
382,Philippe Noiret
383,Catherine Hicks
384,Leslie Nielsen
385,Hitoshi Takagi
386,Melanie Griffith
387,Jean-Claude Van Damme
388,Willem Dafoe
389,Pat Hingle
390,Glenn Close
391,Geena Davis
392,Sonny Bono
393,Jeremy Irons
394,Daniel Day-Lewis
395,Shawnee Smith
396,Joey Lawrence
397,John Neville
398,Cassandra Peterson
399,Christine Ebersole
400,Steven Seagal
401,Keenen Ivory Wayans
402,Lance Henriksen
403,Terry Kiser
404,Doug Bradley
405,Amanda Donohoe
406,James Karen
407,Tami Erin
